transcript_name,SpeakerName,Content,Final_Code,human_code
conversation_0001.xlsx,Buyer,I'd like to discuss pricing for the software package.,OS,OS
conversation_0001.xlsx,Seller,I'm happy to go over our options with you.,OS,OS
conversation_0001.xlsx,Buyer,What's your standard enterprise pricing?,QB,QB
conversation_0001.xlsx,Seller,Our enterprise tier starts at $120000 annually.,IR,IR
conversation_0001.xlsx,Buyer,That's above our budget range of $80000.,DIS,DIS
conversation_0001.xlsx,Seller,I understand. The package includes 24/7 support and training.,SB,SB
conversation_0001.xlsx,Buyer,Can you break down what features are included?,QR,QR
conversation_0001.xlsx,Seller,It includes unlimited users premium support and quarterly updates.,IR,IR
conversation_0001.xlsx,Buyer,We don't really need unlimited users for our team size.,DIS,DIS
conversation_0001.xlsx,Seller,What if we adjusted to a mid-tier package?,INT_PROC,INT_PROC
conversation_0001.xlsx,Buyer,That could work. What would the pricing be?,AGR,AGR
conversation_0001.xlsx,Seller,We could offer it at $95000 annually.,IP,IP
conversation_0001.xlsx,Buyer,Still higher than we'd like. Could you do $85000?,QO,QO
conversation_0001.xlsx,Seller,Let me check with my manager on that number.,MISC,MISC
conversation_0001.xlsx,Buyer,I appreciate that.,AGR,AGR
conversation_0001.xlsx,Seller,I can offer $90000 if you commit to a two-year contract.,INT_PROC,INT_PROC
conversation_0001.xlsx,Buyer,Two years is feasible for us.,AGR,AGR
conversation_0001.xlsx,Seller,Would you want to include the training package?,QP,QP
conversation_0001.xlsx,Buyer,How much would training add?,QB,QB
conversation_0001.xlsx,Seller,Training would add $5000 annually.,IR,IR
conversation_0001.xlsx,Buyer,Can we include just two sessions per year instead?,QO,QO
conversation_0001.xlsx,Seller,Yes we could reduce it to $3000 for two sessions.,AGR,AGR
conversation_0001.xlsx,Buyer,So $93000 total for two years with two training sessions?,QO,QO
conversation_0001.xlsx,Seller,Correct. That would be the final offer.,AGR,AGR
conversation_0001.xlsx,Buyer,Let me discuss with my team and get back to you tomorrow.,PM,PM
conversation_0001.xlsx,Seller,Sounds good. I'll send over a formal proposal.,AGR,AGR
conversation_0001.xlsx,Buyer,Thank you for your time.,OM,OM
conversation_0001.xlsx,Seller,Thank you. Talk soon.,OM,OM
conversation_0002.xlsx,Speaker 1,Let's review the contract terms for this partnership.,OS,OS
conversation_0002.xlsx,Speaker 2,Absolutely. What are your main concerns?,QR,QR
conversation_0002.xlsx,Speaker 1,The payment schedule is my primary focus.,IR,IR
conversation_0002.xlsx,Speaker 2,We typically do 50 percent upfront and 50 percent on delivery.,IP,IP
conversation_0002.xlsx,Speaker 1,That's a significant upfront investment for us.,DIS,DIS
conversation_0002.xlsx,Speaker 2,I understand your hesitation.,AGR,AGR
conversation_0002.xlsx,Speaker 1,Could we structure it as 30 percent upfront and 70 percent on delivery?,QO,QO
